                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7695,                 5.5955,                 2.2235,                0.35452,                0.38963,                0.31377,                0.19183,                 1.2347,                 2.3711,                 2.1493,                0.07003,                0.00333,                0.00333
                      1,                 1.6416,                 3.7693,                 2.0046,                0.46726,                0.40708,                0.42957,                0.24312,                 1.4433,                 2.4507,                 2.4788,               0.039898,              0.0065314,              0.0065314
                      2,                 1.6714,                 3.1213,                 2.0036,                 0.5155,                0.54918,                0.53946,                0.33707,                  1.347,                 2.1915,                 2.3072,              0.0096337,              0.0096008,              0.0096008
                      3,                  1.656,                 2.7805,                 1.9781,                 0.7289,                0.76025,                0.81148,                0.54072,                 1.1053,                 1.3414,                 1.9873,               0.009406,               0.009406,               0.009406
                      4,                  1.604,                 2.4973,                 1.9227,                0.77517,                0.79164,                0.85375,                0.58796,                 1.0671,                 1.2185,                 1.9549,               0.009406,               0.009406,               0.009406
                      5,                 1.5523,                  2.236,                 1.8651,                0.83354,                0.86686,                0.90636,                0.63223,                 1.0356,                 1.0268,                 1.9095,               0.009208,               0.009208,               0.009208
                      6,                 1.5159,                 2.0848,                  1.837,                0.82391,                0.87906,                0.91705,                0.66322,                0.98255,                 1.0356,                 1.8537,                0.00901,                0.00901,                0.00901
                      7,                 1.4984,                 1.9992,                 1.8144,                0.91606,                0.90042,                0.94866,                0.69052,                 1.0012,                0.77968,                  1.871,               0.008812,               0.008812,               0.008812
                      8,                 1.4735,                 1.9108,                 1.7929,                0.90646,                0.91705,                 0.9633,                0.71579,                0.95004,                0.72009,                 1.7878,               0.008614,               0.008614,               0.008614
                      9,                 1.4379,                 1.8043,                 1.7661,                0.92119,                0.93796,                0.96217,                 0.7098,                0.96253,                0.72179,                 1.7893,               0.008416,               0.008416,               0.008416
                     10,                 1.4099,                 1.7612,                 1.7398,                0.92066,                 0.9195,                0.96408,                0.71597,                 0.9607,                0.70607,                 1.8192,               0.008218,               0.008218,               0.008218
                     11,                 1.4026,                 1.6857,                  1.733,                0.93638,                0.90225,                 0.9578,                0.72474,                 0.9302,                0.70516,                 1.7474,                0.00802,                0.00802,                0.00802
                     12,                 1.3789,                 1.6377,                 1.7122,                0.95642,                0.94347,                0.97188,                0.73942,                0.91449,                0.62082,                 1.7401,               0.007822,               0.007822,               0.007822
                     13,                 1.3809,                 1.6193,                 1.7129,                0.93633,                0.93536,                  0.965,                0.72602,                0.92414,                0.64443,                 1.7645,               0.007624,               0.007624,               0.007624
                     14,                  1.355,                 1.5834,                 1.7022,                0.94279,                0.96583,                0.97401,                0.74731,                0.88381,                 0.5771,                 1.7198,               0.007426,               0.007426,               0.007426
                     15,                 1.3453,                 1.5333,                 1.6943,                0.95471,                 0.9526,                0.97781,                 0.7575,                0.87927,                0.56729,                 1.6923,               0.007228,               0.007228,               0.007228
                     16,                 1.3332,                 1.5064,                  1.677,                0.95384,                 0.9577,                0.97911,                0.75839,                0.89128,                0.55686,                 1.6999,                0.00703,                0.00703,                0.00703
                     17,                 1.3276,                 1.4938,                 1.6741,                0.95521,                0.95597,                0.97667,                0.74669,                0.91039,                0.54265,                 1.7467,               0.006832,               0.006832,               0.006832
                     18,                 1.3166,                 1.4638,                 1.6629,                0.95303,                0.97331,                 0.9832,                0.75999,                0.88949,                0.50097,                 1.7037,               0.006634,               0.006634,               0.006634
                     19,                 1.2976,                  1.433,                 1.6478,                0.95523,                0.95595,                 0.9748,                0.76041,                0.86894,                0.56582,                 1.6781,               0.006436,               0.006436,               0.006436
                     20,                  1.288,                 1.4094,                 1.6393,                0.95421,                 0.9554,                0.97523,                0.74776,                0.89218,                0.53329,                 1.7113,               0.006238,               0.006238,               0.006238
                     21,                 1.2996,                 1.3959,                 1.6432,                0.95408,                0.96538,                0.98046,                0.76454,                0.86597,                0.49537,                 1.6742,                0.00604,                0.00604,                0.00604
                     22,                 1.2727,                 1.3629,                 1.6291,                0.96289,                0.96743,                0.97787,                0.76474,                 0.8755,                0.50414,                 1.6885,               0.005842,               0.005842,               0.005842
                     23,                 1.2729,                 1.3429,                 1.6183,                 0.9565,                0.97337,                0.98102,                0.75973,                0.87207,                0.49151,                 1.6911,               0.005644,               0.005644,               0.005644
                     24,                 1.2735,                 1.3173,                 1.6148,                0.96438,                0.97064,                0.98039,                0.75914,                0.87319,                 0.4579,                  1.699,               0.005446,               0.005446,               0.005446
                     25,                 1.2549,                 1.2977,                 1.6131,                0.97183,                0.96603,                0.98273,                0.76767,                0.85578,                0.46997,                 1.6623,               0.005248,               0.005248,               0.005248
                     26,                 1.2418,                 1.2814,                 1.6028,                0.96326,                 0.9697,                0.97959,                0.77693,                0.83926,                0.45562,                 1.6532,                0.00505,                0.00505,                0.00505
                     27,                 1.2456,                  1.275,                    1.6,                0.97537,                0.97458,                0.98495,                0.77722,                0.84389,                0.43973,                 1.6553,               0.004852,               0.004852,               0.004852
                     28,                 1.2298,                 1.2574,                 1.5903,                0.97546,                0.96953,                0.98282,                0.77638,                0.84496,                0.44119,                 1.6311,               0.004654,               0.004654,               0.004654
                     29,                  1.224,                 1.2294,                 1.5837,                0.96883,                0.97518,                0.98494,                0.77852,                0.84131,                0.44334,                 1.6527,               0.004456,               0.004456,               0.004456
                     30,                 1.2245,                 1.2128,                 1.5842,                0.96693,                0.97467,                0.98297,                 0.7751,                0.84461,                0.43155,                 1.6582,               0.004258,               0.004258,               0.004258
                     31,                 1.2111,                 1.1991,                 1.5713,                 0.9776,                0.97271,                0.98381,                 0.7865,                0.83038,                0.42554,                  1.625,                0.00406,                0.00406,                0.00406
                     32,                 1.2149,                 1.1947,                 1.5751,                 0.9785,                0.96803,                0.98691,                0.78463,                0.83817,                0.42805,                 1.6288,               0.003862,               0.003862,               0.003862
                     33,                 1.2031,                  1.175,                 1.5657,                0.97723,                0.97533,                 0.9861,                0.78529,                0.82839,                0.41773,                 1.6166,               0.003664,               0.003664,               0.003664
                     34,                 1.1891,                 1.1498,                 1.5546,                0.97055,                 0.9735,                0.98492,                0.78942,                0.83148,                0.41708,                 1.6228,               0.003466,               0.003466,               0.003466
                     35,                 1.1924,                 1.1395,                 1.5494,                0.97221,                0.97621,                0.98693,                0.79192,                0.82417,                0.41244,                 1.6061,               0.003268,               0.003268,               0.003268
                     36,                 1.1726,                 1.1107,                 1.5416,                0.96845,                 0.9801,                0.98393,                0.78302,                0.82967,                0.40945,                 1.6263,                0.00307,                0.00307,                0.00307
                     37,                 1.1746,                 1.1203,                 1.5416,                0.97501,                0.98167,                0.98616,                0.78668,                0.84169,                0.40217,                 1.6328,               0.002872,               0.002872,               0.002872
                     38,                 1.1723,                 1.0928,                 1.5417,                 0.9735,                0.97886,                0.98635,                0.79007,                 0.8368,                0.41651,                 1.6202,               0.002674,               0.002674,               0.002674
                     39,                 1.1606,                 1.0917,                 1.5343,                0.97727,                0.98141,                0.98662,                0.79133,                0.82898,                0.39533,                 1.6135,               0.002476,               0.002476,               0.002476
                     40,                 1.1434,                 0.9686,                 1.6077,                0.97214,                0.97628,                0.98486,                0.78821,                0.83185,                0.40485,                 1.6006,               0.002278,               0.002278,               0.002278
                     41,                 1.1213,                0.92935,                 1.5838,                0.97997,                0.97592,                 0.9854,                0.79443,                0.81916,                0.39293,                 1.6061,                0.00208,                0.00208,                0.00208
                     42,                 1.1135,                0.90882,                 1.5782,                 0.9803,                0.97772,                0.98626,                 0.7921,                0.82013,                 0.3976,                 1.5999,               0.001882,               0.001882,               0.001882
                     43,                 1.0998,                0.88155,                 1.5687,                0.98234,                0.97914,                0.98604,                 0.7964,                0.81195,                0.39303,                 1.5858,               0.001684,               0.001684,               0.001684
                     44,                 1.0876,                0.85876,                 1.5466,                0.98182,                0.97959,                0.98666,                 0.7927,                 0.8179,                 0.3865,                 1.5896,               0.001486,               0.001486,               0.001486
                     45,                 1.0821,                 0.8545,                 1.5417,                0.97941,                0.98334,                0.98644,                0.79657,                0.81208,                0.38633,                 1.5887,               0.001288,               0.001288,               0.001288
                     46,                 1.0671,                 0.8377,                 1.5331,                0.98351,                0.98078,                0.98667,                0.79535,                0.81205,                0.38259,                 1.5895,                0.00109,                0.00109,                0.00109
                     47,                 1.0542,                  0.822,                 1.5154,                0.98348,                0.98235,                0.98651,                0.79943,                 0.8064,                0.37815,                 1.5812,               0.000892,               0.000892,               0.000892
                     48,                 1.0391,                0.79783,                 1.4995,                0.98387,                0.98395,                0.98651,                0.80246,                0.80901,                0.37631,                  1.587,               0.000694,               0.000694,               0.000694
                     49,                 1.0286,                0.78846,                 1.4933,                0.98186,                0.98373,                0.98622,                0.80091,                0.80722,                0.38013,                 1.5847,               0.000496,               0.000496,               0.000496
